tweet,date,retweet,like,year_month,year,sentiment,new_tweet_text,period,month_year
why we fail in delta variant  1  very late travel ban vs indonesia thailand     malaysia 2  no disclosure by doh of delta cases in april  may   june   3 very low testings  no contact tracings 4  very slow vaccination 5  failure of leadership no sense of urgency and vision ,2021-07-25,2700,8800,2021-07,2021,0,fail delta variant late travel ban disclosure delta may june low contact slow vaccination failure leadership sense urgency vision,during,2021-07
to international friends  here s what happened the past week  malaysia is facing its worst flood in decades  50k  lost their homes  27 confirmed dead  the government just watched  played tourist  cut cake  had fireworks   parties while people froze   starved  daruratbanjir,2021-12-22,8900,7600,2021-12,2021,0,international past week face bad flood lose confirm dead government watch tourist cut cake people freeze starve,during,2021-12
we have shortened the quarantine period for fully vaccinated travelers returning coming to malaysia from 14 days to seven days  close contact isolation for fully vaccinated people is also cut from 10 days to seven days   reopeningsafely,2021-10-15,4900,6500,2021-10,2021,0,quarantine period fully come day seven day close contact isolation fully people also cut day seven day,during,2021-10
just in  north korea has cut ties with malaysia,2021-03-19,2400,5200,2021-03,2021,0,north cut,during,2021-03
we need to start acknowledging climate anxiety in malaysia  the constant trauma  the immense guilt  the unbearable anger   the overwhelming sense of worry about our futures are not normal feelings  the climate crisis robs children   young people of their happiness ,2021-12-22,4600,5200,2021-12,2021,0,need start climate anxiety constant trauma immense guilt unbearable anger overwhelming sense worry normal climate crisis young people happiness,during,2021-12
macam cibai je  bazar ramadhan was a bad move from the start and we kept saying it but nope  didnt listen to us  then now tutup bazar  no proper guidelines for raya   when its literally next week   whats the plan malaysia    sampai kiamat nak buat mco ke  ,2021-02-05,3500,4900,2021-05,2021,0,bad move start keep say nope listen proper raya literally next week plan nak,during,2021-02
dear pakistan turkey iran chechnya   malaysia  form a military alliance  only to protect the palestinians  no attacks no aggression  place them in the palestinian territories  their only job will be to protect palestinian lives  if others want to join out of shame  let’s see,2021-11-05,1000,3900,2021-05,2021,1,dear turkey form military alliance protect aggression place job protect want join shame let see,during,2021-11
does anyone remember that one time when malaysia’s temperature dropped and everyone was scared how it was gonna snow here,2021-06-20,1200,3400,2021-06,2021,1,anyone remember one time temperature everyone snow,during,2021-06
please stay home if you don’t have any urgent matters to attend to outside  front liners are doing their very best  they are tired  everyone is tired  let’s do our part  may malaysia heal soon  slowly but surely ,2021-05-25,2400,2900,2021-05,2021,1,please stay home urgent attend outside front good tired everyone tired let part may heal soon slowly surely,during,2021-05
kenapa unifi negeri² utara malaysia slow malam ni   ini sebabnya just finished the call with tm  all northern region is affected by  fiber cut  at tanjung malim at about 8pm where the traffic will pass through their internet gw at cyberjaya ,2021-03-02,3100,2800,2021-02,2021,0,slow ni finish call northern region affect fiber cut traffic pass,during,2021-03
